fixed acidity,residual sugar,total sulfur dioxide,density,pH,alcohol
6.8,2.4,30.0,0.9966,3.52,10.7
8.9,2.0,110.0,0.9972,3.12,9.3
7.4,2.4,33.0,0.99736,3.58,10.8
9.0,2.9,110.0,0.9982,3.08,9.2
8.7,1.6,11.0,0.99745,3.31,9.55
7.2,2.0,20.0,0.99546,3.29,10.1
7.1,1.8,51.0,0.99634,3.49,10.4
9.9,1.7,52.0,0.99752,3.35,10.0
6.7,2.1,34.0,0.99552,3.33,9.7
8.4,2.1,90.0,0.9973,3.2,9.2
6.1,2.2,9.0,0.9948,3.59,11.5
7.8,2.6,67.0,0.9968,3.2,9.8
7.5,1.7,31.0,0.99538,3.36,10.5
7.9,1.8,20.0,0.9941,3.28,11.1
7.8,1.8,47.0,0.9964,3.19,9.5
8.9,2.5,30.0,0.99824,3.34,10.5
6.8,1.7,53.0,0.9958,3.41,9.7
6.1,1.8,28.0,0.99464,3.36,10.1
9.3,2.1,20.0,0.9966,3.12,9.9
8.0,1.6,29.0,0.99588,3.3,10.8
7.3,1.7,79.0,0.9969,3.41,9.5
7.6,2.6,49.0,0.9968,3.21,10.0
11.4,6.2,24.0,0.9988,3.11,13.3
6.8,1.9,39.0,0.99701,3.4,9.7
6.8,5.6,58.0,0.9997,3.46,10.2
11.8,2.1,19.0,0.9986,3.11,10.8
7.6,1.7,65.0,0.99716,3.46,9.5
7.6,1.3,20.0,0.9965,3.17,9.2
9.1,1.9,17.0,0.99774,3.32,10.5
11.6,3.65,14.0,0.9978,3.05,11.5
7.2,1.6,27.0,0.9972,3.36,9.6
9.3,1.9,22.0,0.99708,3.28,9.5
8.3,2.1,12.0,0.99408,3.26,12.4
9.9,2.4,33.0,0.9974,3.09,9.4
7.6,2.3,14.0,0.99502,3.32,11.5
6.2,1.6,11.0,0.99425,3.61,11.4
7.3,2.1,54.0,0.99728,3.3,10.0
10.3,4.5,13.0,0.998,3.28,11.5
9.6,2.1,38.0,0.99622,3.23,11.1
7.3,2.0,104.0,0.99584,3.28,9.9
6.4,2.3,36.0,0.99519,3.47,11.3
11.9,2.8,35.0,0.9994,3.1,10.8
6.8,8.8,45.0,0.99824,3.38,10.1
10.2,2.4,28.0,0.9978,3.14,10.4
6.4,2.2,48.0,0.99661,3.47,9.7
8.9,2.0,19.0,0.9957,3.17,10.4
10.2,2.9,26.0,0.9968,3.16,12.5
12.5,2.0,15.0,0.9988,2.99,10.2
9.9,2.4,52.0,0.9971,3.19,11.6
8.0,2.1,74.0,0.99656,3.27,9.8
10.7,6.6,99.0,1.00289,3.22,9.3
7.1,2.3,43.0,0.9955,3.42,10.7
8.1,2.2,53.0,0.995,3.27,12.4
9.8,2.5,28.0,0.9981,3.24,10.8
11.9,2.7,42.0,1.0004,3.16,10.3
9.2,3.3,47.0,0.9988,3.26,9.6
9.0,2.8,98.0,0.99815,3.32,9.5
7.8,2.0,131.0,0.99622,3.21,9.9
7.9,2.2,59.0,0.99714,3.31,10.1
9.4,2.0,48.0,0.9981,3.14,9.7
8.7,3.0,81.0,1.0002,3.48,11.6
7.8,2.5,35.0,0.996,3.34,11.6
6.8,6.0,18.0,0.9962,3.41,10.8
5.8,1.8,28.0,0.99483,3.55,10.9
6.9,6.7,115.0,0.99787,3.22,9.5
10.0,2.7,89.0,0.9984,3.22,10.0
10.6,15.5,23.0,1.0026,3.12,9.2
7.9,1.8,44.0,0.9973,3.3,9.5
8.8,2.8,16.0,0.99614,3.31,11.8
8.1,2.1,30.0,0.9968,3.23,9.7
7.5,1.6,58.0,0.9965,3.34,9.4
10.0,2.9,8.0,0.99674,3.33,12.2
7.5,1.7,31.0,0.99538,3.36,10.5
8.7,2.5,64.0,0.99746,3.1,9.6
7.2,3.0,16.0,0.99586,3.43,10.0
8.5,2.1,113.0,0.99733,3.13,9.2
5.1,1.7,86.0,0.99264,3.56,12.9
8.8,1.7,27.0,0.99394,3.14,11.3
7.3,2.5,13.0,0.998,3.49,9.2
10.9,1.8,14.0,0.9982,3.3,9.8
7.1,2.0,68.0,0.99694,3.45,9.4
6.7,2.1,119.0,0.99538,3.36,10.9
8.6,2.0,28.0,0.99815,3.28,10.0
7.7,2.0,39.0,0.9987,3.48,9.3
6.6,2.2,15.0,0.9956,3.4,9.4
6.3,2.0,33.0,0.99488,3.6,11.2
15.0,2.2,24.0,1.00005,3.07,9.2
8.6,1.9,77.0,0.99604,3.47,11.0
8.0,1.9,15.0,0.9956,3.3,11.4
5.6,1.5,13.0,0.99498,3.66,10.1
8.1,2.6,15.0,0.997,3.37,11.3
8.4,1.9,63.0,0.9965,3.19,9.6
7.6,2.1,74.0,0.9958,3.26,9.9
9.9,2.3,61.0,0.9982,3.21,9.5
8.9,4.0,10.0,0.99586,3.21,12.1
10.9,1.8,44.0,0.99734,3.28,11.5
6.3,2.0,24.0,0.99437,3.59,11.2
8.7,2.5,49.0,0.9976,3.34,10.6
12.4,2.6,69.0,0.9994,3.12,10.4
6.3,1.4,33.0,0.9922,3.45,12.3
7.7,2.7,58.0,0.9947,3.37,11.8
15.5,4.2,23.0,1.00315,2.92,11.1
7.9,1.6,30.0,0.994,3.29,11.2
7.6,2.6,44.0,0.99656,3.38,11.1
7.4,5.2,98.0,0.99713,3.16,9.6
7.4,2.4,61.0,0.99528,3.43,10.8
11.7,1.7,32.0,0.99686,3.15,10.6
7.2,2.3,46.0,0.99332,3.32,11.8
8.1,4.1,14.0,0.99854,3.36,9.6
10.4,1.9,10.0,0.99724,3.33,10.9
5.2,1.8,63.0,0.9916,3.68,14.0
7.5,3.7,94.0,0.99786,3.14,9.1
8.7,2.5,15.0,0.9991,3.32,9.0
8.4,6.0,54.0,0.999,3.37,9.9
7.0,1.4,63.0,0.996,3.28,9.2
8.0,2.2,25.0,0.9936,3.28,12.4
7.7,3.5,10.0,0.9972,3.25,9.9
7.4,2.0,67.0,0.9972,3.34,9.2
9.9,13.8,82.0,1.00242,3.16,8.8
7.8,2.3,54.0,0.9975,3.43,10.0
7.8,1.9,55.0,0.9962,3.31,11.0
10.0,11.0,50.0,1.0015,3.16,9.2
10.0,2.7,32.0,1.0,3.28,10.0
8.8,2.7,122.0,0.9982,3.26,9.5
7.3,1.9,102.0,0.9967,3.26,9.3
10.6,2.5,21.0,0.9987,3.26,10.7
7.5,2.3,8.0,0.9951,3.4,11.0
5.3,1.5,62.0,0.99395,3.62,11.0
9.5,2.3,37.0,0.9982,3.17,9.6
8.6,1.9,136.0,0.9972,2.93,9.9
7.6,2.3,71.0,0.9982,3.52,9.7
7.1,1.8,18.0,0.99344,3.39,12.4
9.0,2.7,125.0,0.9984,3.31,9.4
9.1,2.1,28.0,0.999,3.41,10.3
7.9,1.8,49.0,0.9963,3.28,9.3
8.7,2.4,59.0,0.99617,3.33,12.0
7.5,2.6,44.0,0.9965,3.38,10.7
7.1,2.1,24.0,0.99252,3.3,13.3
7.5,1.7,60.0,0.99494,3.1,9.3
10.4,1.8,20.0,0.9977,3.18,11.0
8.2,2.3,9.0,0.99506,3.27,12.3
7.7,2.0,60.0,0.9955,3.36,10.9
7.6,2.5,23.0,0.9957,3.3,11.2
9.9,2.3,40.0,0.9991,3.39,9.4
10.0,2.0,11.0,0.99585,3.23,12.0
7.7,2.1,54.0,0.998,3.42,9.2
7.6,2.0,24.0,0.9963,3.44,11.9
8.9,5.6,47.0,0.9991,3.38,10.5
8.9,2.0,81.0,0.9964,3.04,9.5
8.7,6.2,42.0,0.9953,3.24,12.6
12.7,2.8,19.0,0.9994,3.14,11.4
7.5,2.2,12.0,0.99495,3.44,11.5
10.0,2.2,58.0,0.9991,3.18,10.1
6.1,1.8,25.0,0.9955,3.42,10.1
7.0,1.7,8.0,0.996,3.41,10.3
7.5,3.0,53.0,0.9967,3.37,10.3
8.8,1.7,23.0,0.9971,3.15,9.2
8.6,1.5,18.0,0.99666,3.2,9.4
9.9,2.6,77.0,0.998,3.28,9.8
5.9,2.0,44.0,0.99547,3.57,10.2
5.6,2.3,99.0,0.9937,3.63,13.0
6.9,2.0,51.0,0.99668,3.47,9.5
10.0,2.2,58.0,0.9991,3.18,10.1
8.4,2.1,36.0,0.99392,3.11,12.4
10.9,1.8,14.0,0.9982,3.3,9.8
7.9,1.8,56.0,0.9969,3.04,9.2
8.6,2.0,27.0,0.9967,3.2,10.2
6.6,3.0,31.0,0.99629,3.45,10.3
11.2,2.5,53.0,0.9993,3.06,11.0
7.2,1.9,38.0,0.99675,3.37,9.0
9.1,4.6,20.0,0.99652,3.28,12.5
7.1,1.9,35.0,0.9972,3.47,9.4
8.6,2.2,6.0,0.99512,3.27,11.9
6.5,2.2,59.0,0.99541,3.61,11.5
7.1,2.5,85.0,0.99746,3.55,9.8
7.8,2.0,131.0,0.99622,3.21,9.9
8.4,2.6,119.0,0.99801,3.15,9.1
8.2,2.3,28.0,0.99613,3.25,10.2
8.1,3.3,61.0,1.00025,3.6,9.8
8.7,1.7,66.0,0.99623,3.0,9.2
7.7,2.0,41.0,0.99697,3.39,10.1
8.4,2.0,22.0,0.9976,3.22,9.6
6.9,4.1,65.0,0.99842,3.53,9.25
11.3,2.0,15.0,0.9988,2.94,9.2
6.2,2.0,24.0,0.99428,3.45,11.2
9.1,1.8,16.0,0.99462,3.21,12.5
10.5,2.95,29.0,0.997,3.24,11.7
7.8,2.0,16.0,0.9964,3.38,9.8
8.7,2.8,28.0,0.9964,3.33,11.2
11.5,2.6,49.0,0.9988,3.18,11.0
7.5,1.7,31.0,0.99538,3.36,10.5
9.5,6.3,17.0,0.9988,3.21,11.0
8.2,2.0,86.0,0.99764,3.34,9.5
10.2,1.8,14.0,0.9982,3.17,10.0
10.0,1.9,74.0,0.99451,2.98,11.8
7.2,2.5,42.0,0.9972,3.44,9.3
7.8,2.6,90.0,0.99621,3.38,10.8
6.4,2.2,25.0,0.99514,3.44,11.1
8.2,1.7,12.0,0.9964,3.53,10.9
11.4,2.1,21.0,1.0,3.17,9.2
10.7,2.2,32.0,0.9986,2.89,9.6
8.0,2.0,18.0,0.9972,3.29,9.2
6.7,2.3,32.0,0.99648,3.52,11.0
8.0,1.9,84.0,0.99717,3.39,9.0
7.4,2.4,26.0,0.9947,3.36,11.9
7.9,2.0,79.0,0.99677,3.29,9.5
7.5,2.2,20.0,0.99474,3.26,11.8
